post,topic,audience
"Reminder: The deadline to apply for our Golden Ticket with @MBiolabs is April 14. If you’re a #science or #tech startup focused on transformational therapies, apply today: https://t.co/OVqcBAwkVa https://t.co/5ZuYfqqp7b",partnership // research & publication,all
"@JaniceCosentino Hi Janice, we saw your tweet and want to connect. Can you please follow us so we can DM you with further assistance?",company announcement // other,all
"Pleased to share we’ve been named a 2023 @ENERGYSTAR Partner of the Year, receiving Sustained Excellence in Energy Management. This recognition is a testament to our #sustainability journey over the past year. Read more: https://t.co/pxYjTfktkS #ENERGYSTARAwards https://t.co/hLHDGrLIEd",company announcement // other,all
@abbvie [Video description: AbbVie employees discuss why they are proud to work in oncology.],company announcement // new hires / employee updates,all
Purpose. Commitment. Collaboration. Join our team of #oncology professionals who are passionate about tackling complex challenges to help make an impact. Explore our opportunities: https://t.co/xJuPbTEFZB #AbbVieLife https://t.co/ehxdVWmfk8,partnership // research & publication,all
"[Video description: AbbVie employee Sylda shares what motivates her work every day. Followed by text reading, “A decade of impact. Endless possibilities.”]",company announcement // new hire / employee update,all
Sylda sees every interaction in her work as an opportunity to make a positive impact. Hear what else motivates her day-to-day. #AbbVie10 #AbbVieLife https://t.co/6Y4Tv4LGvm,partnership // motivation & support,all
"@tinysnakes Hi @tinysnakes, we saw your tweet and want to connect. Can you please follow us so we can DM you with further assistance?",company announcement // other,all
"@TammyKreiss Hi Tammy, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",company announcement // other,all
"The #myelofibrosis (MF) journey looks different for every patient. Some may remain symptom-free for years – for others, symptoms may progress more quickly. Learn about our research in #BloodCancer: https://t.co/49brfAhROs https://t.co/ReZtv1KQWQ",company announcement // general disease info / Awareness,all
"@Melanie851104 @Melanie851104 Hi Melanie, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",company announcement // other,all
#Endometriosis affects millions of Americans. The daily pain associated with this disease should not be considered “normal” or ignored. #EndometriosisAwarenessMonth https://t.co/fdNIiBCOtf,company announcement // general disease info / awareness,all
"@abbvie [Video description: On-screen text reads, “Immunology News.”]",company announcement // research & publication,all
JUST IN: Today we announced top-line results from a Phase 3 induction study in adult patients with #UlcerativeColitis. Read more: https://t.co/d1SiPT7of7 https://t.co/WXpyAvAVyW,company announcement // research & publications,all
#MultipleMyeloma is the second most common blood cancer in the world. That’s why we’re focused on advancing collaborations and expanding research to address this complex cancer. #MyelomaActionMonth #MYelomaSTORY #mmsm https://t.co/XfQfxgtWtX,company announcement // general disease info / Awareness,all
"#Myelofibrosis is a #BloodCancer that can develop slowly, often not revealing immediate symptoms, which can make it difficult to diagnose. https://t.co/sDibxoNOgx",company announcement // research and publications,all
"@Bestsurvivor Hi @Bestsurvivor, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",company announcement // other,all
ATTN early-stage #science or #tech companies: Applications are open for our Golden Ticket with @MBiolabs. Two winners will receive lab bench space and access to core facilities at MBC BioLabs’ #SanFrancisco or #SanCarlos site. Apply by April 14: https://t.co/1p7mm9K7UK https://t.co/4699lZ7Dlr,company announcement // conferences & outreach,all
Living with #Glaucoma can be challenging. That’s why we’re investigating additional approaches that aim to help transform glaucoma management and reduce its burden. More: https://t.co/XB5Xpx0jDz #GlaucomaWeek https://t.co/3QGjsoViiP,company announcement // general disease info / Awareness,all
"@Allisonbryant56 Hi Allison, we saw your tweet and want to connect. Can you please follow us so we can DM you with more information?",company announcement // other,all
"@abbvie [Video description: On-screen text reads, “Immunology News.”]",company announcement // research & publication,all
"We’re presenting more than 20 abstracts at #AAD2023, highlighting new data across our broad #dermatology portfolio. Read more: https://t.co/fdQDmr5rb1 https://t.co/v0KAJ2XwKV",company announcement // research & publication,all
Thanks to everyone who followed along our #SXSW panel discussion and to our incredible panelists for this invigorating conversation. This is the first step on our #JourneyToADMIRE. Join our community and help co-create a more inclusive future for all: https://t.co/50RYxredBj https://t.co/ohk7AAO0Vs,company announcement // conferenes & outreach,all
"""We need partnership and diversity of thought – that is why we are launching the ADMIRE program. Share your voice, share your experience. We want to build fertile ground to cultivate new ideas and solutions."" - Kim Ribeiro #SXSW #JourneyToADMIRE",company announcement // conferenes & outreach,all
"""What about people in underserved communities that don’t go to research hospitals? How do we educate them about clinical trial opportunities? I tell my story because I am grateful to my doctor who told me about clinical trials."" - Sheila Marie Johnson #SXSW #JourneytoADMIRE",company announcement // conferences & outreach,all
"""It’s really important that we educate more skin of color clinical investigators. We’re going to draw that concordant patient to our sites."" - Dr. Cheryl Burgess #SXSW #JourneyToADMIRE",company announcement // conferences & outreach,all
"When joining clinical trials, Sheila encourages, “Ask me first. A study showed 96% of Black women won’t be asked to join a clinical trial. Yet, 85% said they would join... There is medical mistrust in the Black community, but leave the bias at the door."" #SXSW #JourneyToADMIRE",company announcement // conferences & outreach,all
"""We all have it within ourselves to shape the future, build it, and most importantly act on it to build a more equitable future."" - Geraldine Wharry",company announcement // other,all
"""We need to recognize that more people need to understand that diversity and inclusion matters. It’s critical that we are meeting the needs of patients today and tomorrow."" - Kim Ribeiro",company announcement // motivation & support,all
"Geraldine Wharry, a specialist in future forecasting and our final #SXSW panelist, will discuss cultural norms, including the influence of social media, and what needs to change to strengthen our #JourneyToADMIRE. https://t.co/agDX57kiOg",company announcement // conferenes & outreach,all
"Panelist Sheila Marie Johnson, a veteran and metastatic breast cancer survivor, is with us at #SXSW to provide firsthand #ClinicalTrial experience as a patient who’s passionate about driving equality on the #JourneyToADMIRE. https://t.co/PZjanlrDkQ",company announcement // conferences & outreach,all
Panelist Dr. Cheryl Burgess provides a physician and clinical trial investigator’s perspective on the importance of advancing modern medicine through patient equity and inclusion on the #SXSW #JourneyToADMIRE. https://t.co/QDybkbgJtY,company announcement // conferences & outreach,all
